class,actual_samples,predicted_samples,actual_percentage,predicted_percentage,distribution_difference,accuracy,error_rate
glioma,270,240,25.0,22.22222222222222,-2.7777777777777786,0.8407407407407408,0.15925925925925927
meningioma,270,279,25.0,25.833333333333336,0.8333333333333357,0.8703703703703703,0.12962962962962962
notumor,270,286,25.0,26.481481481481485,1.4814814814814845,0.9851851851851852,0.014814814814814815
pituitary,270,275,25.0,25.462962962962965,0.46296296296296546,0.9518518518518518,0.04814814814814815
