,precision,recall,f1-score,support
glioma,0.9458333333333333,0.8407407407407408,0.8901960784313725,270.0
meningioma,0.8422939068100358,0.8703703703703703,0.8561020036429873,270.0
notumor,0.9300699300699301,0.9851851851851852,0.9568345323741008,270.0
pituitary,0.9345454545454546,0.9518518518518518,0.9431192660550459,270.0
accuracy,0.9120370370370371,0.9120370370370371,0.9120370370370371,0.9120370370370371
macro avg,0.9131856561896884,0.912037037037037,0.9115629701258765,1080.0
weighted avg,0.9131856561896885,0.9120370370370371,0.9115629701258765,1080.0
