epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.5686988641345312,0.7982142857142858,0.4119949334197574,0.8675925925925926,0.002
2,0.40470464797247024,0.8561507936507936,0.3552706142266591,0.8787037037037037,0.002
3,0.3631991954549911,0.8706349206349207,0.329523989227083,0.8796296296296297,0.002
4,0.35160667385373795,0.8692460317460318,0.3030635095304913,0.8916666666666667,0.002
5,0.3389387444844322,0.879563492063492,0.2920371628469891,0.8944444444444445,0.002
6,0.31851149745403773,0.8865079365079365,0.2957265508395654,0.8888888888888888,0.0002
7,0.3070459647784157,0.8896825396825396,0.29056034021907384,0.8861111111111111,0.0002
8,0.3089833749192102,0.888095238095238,0.29778610512062353,0.8888888888888888,0.0002
9,0.3002803670508521,0.8926587301587302,0.28331556253963047,0.9009259259259259,0.0002
10,0.3103943724953939,0.8890873015873015,0.2879543748166826,0.8925925925925926,0.0002
