Class,EfficientNet_Precision,EfficientNet_Recall,EfficientNet_F1,ResNet50_Precision,ResNet50_Recall,ResNet50_F1
glioma,0.9458333333333333,0.8407407407407408,0.8901960784313725,0.9380165289256198,0.8407407407407408,0.88671875
meningioma,0.8422939068100358,0.8703703703703703,0.8561020036429873,0.850187265917603,0.8407407407407408,0.845437616387337
notumor,0.9300699300699301,0.9851851851851852,0.9568345323741008,0.9436619718309859,0.9925925925925926,0.9675090252707581
pituitary,0.9345454545454546,0.9518518518518518,0.9431192660550459,0.9059233449477352,0.9629629629629629,0.933572710951526
