epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.685446749509327,0.7654761904761904,0.52408756547504,0.8296296296296296,0.001
2,0.4880902136129046,0.8246031746031746,0.5140839417775472,0.837037037037037,0.001
3,0.45512839754422507,0.8323412698412699,0.43504954179128014,0.8527777777777777,0.001
4,0.4318782990887052,0.8432539682539683,0.4230028834607866,0.8564814814814815,0.001
5,0.41516985126904077,0.8494047619047619,0.3982149146221302,0.862037037037037,0.001
6,0.38619933989312916,0.8662698412698413,0.4013902182932253,0.8722222222222222,0.0001
7,0.3977014937098064,0.8541666666666666,0.42652680895946643,0.862037037037037,0.0001
8,0.39526991683339313,0.8575396825396825,0.3993119506924241,0.8703703703703703,0.0001
9,0.3921880080586388,0.8611111111111112,0.39430711026544923,0.8722222222222222,0.0001
10,0.39484315173966544,0.8573412698412698,0.4071610413215779,0.8666666666666667,0.0001
